CID,QID,CUserID,CBody,CDate,IsReply,ParentID
109456146,3404305,a371a30b-a96c-4a30-a4eb-38316cba3bbb,"من اینطوری شدم اوایل نبودم چند سالی هست گرفتار شدم نمیتونم تمرکز کنم دارم شروع می‌کنم خوردن اسنترا البته حس می‌کنم فایده نداره","1398/08/01 21:02",0,
109456448,3404305,e7b922f8-759e-4f67-9828-61ef8264f63b,"اریاتس جان حتما باز برو پیش دکترت بگو من اول بوبروپیون نوشت اثر نداشت دوزشو زیاد کرد اثر نداشت و تعویص دارو کرد.خیلی بده من همه روشهای تمرکز و ارام کردن ذهن ویوگاو مدتیشن و... انجام دادم اخرش مجبور شدم ب دکتر مراجعه کنم ونمیدونم خوب بشم یانه","1398/08/01 21:05",1,109456146
109456526,3404305,e7b922f8-759e-4f67-9828-61ef8264f63b,"هیچکس نیس ازینوع داروها استفاده کرده باشه ایا خوب شده واصلا کی تاثیرشو میزاره؟","1398/08/01 21:06",0,
109456973,3404305,a371a30b-a96c-4a30-a4eb-38316cba3bbb,"حوصله ندارم برم دکتر","1398/08/01 21:11",1,109456448
109457712,3404305,e7b922f8-759e-4f67-9828-61ef8264f63b,"ن برای درس اصلابااین مشکل ادم هیچی اززندگی نمیفهمه..انشالله خوب میشی تو که ازبچگی نداشتی راحتر درمان میشی","1398/08/01 21:20",1,109456973
109460503,3404363,e7b922f8-759e-4f67-9828-61ef8264f63b,"کسی ایا میدونه فلوکستین یاکلو پرامین هردو دوز10چندروز بعد تاثیر نشون مین اصلا کسی خوب شده بااین قرصا","1398/08/01 21:50",0,
183954255,6202004,bc3e2c6a-f45e-4a73-9c50-6139c55b715d,"ای دی اچ دی چیع؟","1400/01/15 13:01",0,
183954325,6202004,26bd7aef-1266-47ce-bfe2-61b8bbe38c41,"اسمشه","1400/01/15 13:02",1,183954255
183954347,6202004,2a6e6e42-1e56-469b-8973-135426bf95ce,"سوال ول کردی؟😅😅😅😅","1400/01/15 13:02",1,183954255
183954349,6202004,dcc1194d-59d2-4609-9a1f-c61f018b2b97,"این ک ی اختلال روانیه ای دی اچ دی","1400/01/15 13:02",0,
183954464,6202004,18a4e176-68dd-4da4-8a6c-d4ec07e20d22,"خانم ها لطفادکتر پوست ومو معرفی کنید بهم‌ تو شهرقم","1400/01/15 13:03",0,
183954758,6202004,18a4e176-68dd-4da4-8a6c-d4ec07e20d22,"هیچی بابا نمیدونستم باید عنوان تاپیکو بنویسم‌ حالا برا adhd اومدید.سوالمو جواب بدین","1400/01/15 13:05",1,183954255
193713850,6615889,0dde9eef-7325-44d3-b2b5-d219288f59ed,"تشخیصش با پزشکه ولی همکارم داشت فک کنم منم خفیفش رو دارم 😐","1400/03/15 13:44",0,
193713898,6615889,4343117a-2dd4-4742-9f8a-2302f012869e,"اين اختلال با دارو كنترل ميشه جاى نگرانى نيست","1400/03/15 13:44",0,
193714039,6615889,a95b1de9-16dc-4071-8b85-1578389134e1,"همکارتون یا خودتون چه علائمی دارید؟","1400/03/15 13:46",1,193713850
193714145,6615889,0dde9eef-7325-44d3-b2b5-d219288f59ed,"بارزترینش عدم تمرکزه","1400/03/15 13:47",1,193714039
193714158,6615889,404cf46a-1800-4b07-a378-08e61799fe5e,"میشه بگین از کجا متوجه شدین","1400/03/15 13:47",0,
193714251,6615889,404cf46a-1800-4b07-a378-08e61799fe5e,"راجب درمانش چیزی میدونین؟؟؟","1400/03/15 13:48",1,193714145
193714863,6615889,0dde9eef-7325-44d3-b2b5-d219288f59ed,"ریتالین داده بودن به همکارم نخورده بود","1400/03/15 13:54",1,193714251
193717835,6615889,404cf46a-1800-4b07-a378-08e61799fe5e,"اهان ممنون","1400/03/15 14:18",1,193714863
236031089,8595055,f8887cde-ac77-443a-848d-ba7f884139b9,"خیلیا دارن .عدم توجه و تمرکز و.. باید سعی کنی کاراتو طولانی کنی مثلا کتاب میتونی نیم ساعتو بکنی ۴۵ دقیقه .استمرار بده ب کارات","1401/02/14 12:53",0,
236031170,8595055,22e90d0e-80d9-4e78-9e81-8727c8f5d50c,"Adhdسه ویژگی اصلی داره که باید سه تاش باهم باشه تکانشگری،نقص توجه،بیش فعال تو شش سالگی تشخیصش میدن.","1401/02/14 12:53",0,
236031210,8595055,4b46f279-5b5b-4ff9-bc9c-618456e66d7d,"یعنی توی دنبال کردن مکالمه‌ها یا دیالوگ‌های طولانی مشکل داری؟","1401/02/14 12:54",0,
236031707,8595055,3ecc9146-46da-4af2-9111-514fc2cd93de,"فقط اینطور میتونم بگم که بعدا متوجه میشم طرف صحبتم چیزی تو صحبتاش گفته که من حواسم نبوده بی دقتی زیاد دارم حالا ممکنه مکالمه کوتاه باشه یا بلند","1401/02/14 13:00",1,236031210
236031997,8595055,4b46f279-5b5b-4ff9-bc9c-618456e66d7d,"شاید adhd باشه عزیزم، منم شوهرم براش همین تشخیص رو دادن و همین علامت و مشکل جهت‌یابی رو (تا حدی البته، این یکی خیلی شدید نیست) رو داره. در کل بااینکه سه تا ویژگی تشخیصی مشخص داره ولی توی بزرگسال‌ها خیلی متنوع میتونه باشه مخصوصا اگه تو بچگی تشخیص نداده باشن، توی reddit و quora یه سرچی بزن‌ یا یه سری پیج‌های اینستا، ببین تجربه مشابه پیدا میکنی؟ من the_mini_adhd_coach رو دارم و به‌نظرم پیج خوبیه. ولی در کل هم اگر خودت شک داری هیچوقت آدم ضرر نمیکنه از مشورت با یه متخصص دیگه.","1401/02/14 13:03",1,236031707
236033986,8595055,3ecc9146-46da-4af2-9111-514fc2cd93de,"که اینطور،،،خیر سرم خواستم سراسری ۱۴۰۲ رو شرکت کنم...گفتم چرا تلاش من همیشه باید چند برابر دیگران باشه!!! ممنون از راهنماییتون یه سر به اون آدرسایی که دادین میزنم🙏","1401/02/14 13:27",1,236031997
200833317,6940795,20ca9153-a1c3-4f7b-8a15-a69af09224cc,"سلام.اگر به دارو مقاومید درمان نوروتراپی بشید.نوروفیدبک موثره.من درسشو خوندم که میگم.کلینیک توی تهران زیاده","1400/05/06 21:21",0,
200833419,6940795,20ca9153-a1c3-4f7b-8a15-a69af09224cc,"کلینیک آتیه درخشان ذهن دکتر رستمی کرج. یا مغز و شناخت پروفسور نظری سرچ‌کنید هست","1400/05/06 21:22",0,
200833445,6940795,cd21dbc4-4550-446b-8f4e-7585383546c3,"نه","1400/05/06 21:22",0,
200835067,6940795,c95b8cd5-aee1-450b-89da-7c3f05eda5ba,"منم دکتر برام تشخیص بیش فعالی داده، پسرمو برده بودم خودم غافلگیر شدم. دکتر بهم ریتالین داده ولی گفته سعی کن فقط وقتایی که واجبه بخوری","1400/05/06 21:40",0,
202979100,7042131,9064a98c-c14e-456d-8c22-3d0764e173cd,"باید حتما بری دکتر شاید لازم باشه دارو مصرف کنی","1400/05/22 11:34",0,
202979164,7042131,22db5f02-5954-4cb1-b85c-8cd76be0609e,"نصف مردم کره خاکی اینا رو دارن تو دوره های مختلف سنی فک نکن ک تو جزو تعداد عدیده هستی! مث سرماخوردگی","1400/05/22 11:34",0,
202979265,7042131,3b7a58a3-e036-416e-b773-6cf3dc1ac672,"برا سلامت روحمون هم دکتر لازم داریم ولی یکی ابنجا بود گفته با کوهنوردی و سنگ نوردی افسردگیشو درمان کرد","1400/05/22 11:35",0,
237642785,8672355,54522759-4558-485e-a359-a8e7e71122e0,"بیش فعالی بزرگسالان ؟","1401/02/27 20:42",0,
237642822,8672355,60005d53-707d-4e73-b944-52dd2816eaa5,"باید بری روان درمانی","1401/02/27 20:42",0,
237642823,8672355,54522759-4558-485e-a359-a8e7e71122e0,"برو دکتر درمان میشه ها","1401/02/27 20:42",0,
237643011,8672355,29eb06d0-064e-4ffc-8498-bf35d7ab1cb8,"از بچگی بوده","1401/02/27 20:44",1,237642785
237643425,8672355,54522759-4558-485e-a359-a8e7e71122e0,"چجوریع حالتات؟منم بقیه بهم میگن داری","1401/02/27 20:48",1,237643011
237643555,8672355,429593a3-7584-4362-815d-c68cbdfd1aee,"تو بچگی درسات چطدور بود رو تمرکز اثر بد نداش چجوری بودی","1401/02/27 20:49",1,237643011
237647007,8672355,29eb06d0-064e-4ffc-8498-bf35d7ab1cb8,"ببین صفر و صدی بودم.درسایی که دوس داشتم سرکلاس هم خوب گوش میکردم و خوب هم میخوندمشون مثل فیزیک ریاضی.و همیشه تو این دوتا درس خیلی قوی بودم المپیادی فیزیک بودم.زبانم هم عالیه.ولی مثلا درسی مثل ادبیات رو دوس نداشتم نمیخوندمش سرکلاس هم گوش نمیکردم نمره هامم تو این درس کم بود","1401/02/27 21:27",1,237643555
237647260,8672355,29eb06d0-064e-4ffc-8498-bf35d7ab1cb8,"رفتار تکانشی.زود رنجی.وسواس فکری.بلندپروازی و کمال گرایی.تمرکز شدید روی کارهایی که علاقه دارم و عدم تمرکز روی کارهایی که علاقه ندارم.انرژی زیاد و پرحرفی.من از بس تحرک دارم بیخودی که شبا با پا درد میخوابم.وسایلم هم گم میکنم چون دقت ندارم کجا میذارم.","1401/02/27 21:29",1,237643425
237647423,8672355,54522759-4558-485e-a359-a8e7e71122e0,"عععععع خودددد منیییی","1401/02/27 21:30",1,237647260
237647515,8672355,54522759-4558-485e-a359-a8e7e71122e0,"عععععع بازم مثل منی به نظرم هوش بالاییم داریم که اینجوریه علاوه بر وسواس","1401/02/27 21:31",1,237647007
237647708,8672355,29eb06d0-064e-4ffc-8498-bf35d7ab1cb8,"من تست آیکیو روانشناس ازم گرفت 127 بودم ولی همه جا بدردم نمیخوره.فقط کارایی که دوس دارمو میتونم با کیفیت انجام بدم.بعضی جاها خیلی خنگم","1401/02/27 21:33",1,237647515
237647781,8672355,29eb06d0-064e-4ffc-8498-bf35d7ab1cb8,"متیل فنیدیت میخوردم.خیلی آشغال بود.تا یه هفته خوبه بعد بدنت عادت میکنه اثر نمیذاره.الان ویاس میخورم این بهتره باز","1401/02/27 21:34",1,237647423
237647952,8672355,54522759-4558-485e-a359-a8e7e71122e0,"اره منم ۱۴۰بود ولی خنگ نیستم تو کاری فقط زیاد تو خیالپردازیم به نظرم میشه خود آدم درستش کنه","1401/02/27 21:36",1,237647708
237648454,8672355,29eb06d0-064e-4ffc-8498-bf35d7ab1cb8,"خیالپردازی هم من دارم یادم رفت بگم...اره ولی درجه بندی داره.واسه بعضیا شدیده مثلا بچه 5 ساله یکی از آشناهامون در خونه رو باز میکرد میرفت بعده چند ساعت خیابون های اطراف پیداش میکردن.در این حد بی قرار بود..منم بی قرارم تو ذهنم هم کارای خطرناک میاد ولی جرات ندارم انجام بدم.کلا بیش فعالی یعنی داشتن یه مغز با موتور لامبورگینی و ترمز دوچرخه.اصلا مغز ترمز نداره.واسه همین هی رویا پردازی میکنه در لحظه به هزار چیز فکر میکنه و...","1401/02/27 21:41",1,237647952
237662142,8672355,429593a3-7584-4362-815d-c68cbdfd1aee,"آهان یعنی نسبت به علاقه ات بوده","1401/02/27 23:41",1,237647007
237662696,8672355,a254b217-44ac-450e-b82e-8d806ab76976,"ببین من تمام این چیزایی که میگی رو دادم","1401/02/27 23:45",1,237647260
237662706,8672355,96e96672-a545-44b9-a03f-aabfc933701e,"من هم بیش فعالی بزرگسالی داشتم یعنی از هفت سالگی شروع شد ولی مشکلی تو رانندگی ندارم","1401/02/27 23:45",0,
237662722,8672355,5d15aada-892a-46ce-bd5d-9ef93d17dca6,"عزیزم دکتر برات تشخیص داده؟! چون منم دارم اتوموکستین مصرف میکنم ولی بعد یه مدت اثرشو از رست داد","1401/02/27 23:45",0,
237663671,8672355,c93a8f00-15aa-4c72-bee4-1b52105e6a76,"وای مثل منی ، تو خونه از اینور ب اونور میدوم","1401/02/27 23:51",1,237647260
237664238,8672355,c93a8f00-15aa-4c72-bee4-1b52105e6a76,"چ کارایی رو با کیفیت انجام‌ میدی","1401/02/27 23:54",1,237647708
