QID,QUserID,QTitle,QBody,QDate,QVisit
3404305,e7b922f8-759e-4f67-9828-61ef8264f63b,Adhd,"سلام دوستان من ازبچگی تمرکزم پایین بود وحواس پرتی و... بااینکه درسم خوب بود و زرنگ بودم اما بیشتر از بقیه میخوندم وانرژیم هدرمیرف وسواس فکری هم دارم ک دکتر گفتadhdدارم ینی نقض توجه وعدم تمرکز باحجم افکار منفی وکنترل نشده گف وسواس فکریه...قرص کلوپرامین10برا قبل خواب نوشت..ریتالین 10روزی یدونه..وصبحام فلوکسیتین10..دوماه دیگه یه ازمون مهم دارم ایا کسی شبیه من بوده ایا فلوکسیتین و کلوپرامین ک هردو وسواس فکری و درمان میکنه استفاده هردو مشکل ساز نیس یادم رف اینو ازدکترم بپرسم","1398/08/01 21:00",206
3404363,e7b922f8-759e-4f67-9828-61ef8264f63b,Adhd,"سلام دوستان من ازبچگی تمرکزم پایین بود وحواس پرتی و... بااینکه درسم خوب بود و زرنگ بودم اما بیشتر از بقیه میخوندم وانرژیم هدرمیرف وسواس فکری هم دارم ک دکتر گفتadhdدارم ینی نقض توجه وعدم تمرکز باحجم افکار منفی وکنترل نشده گف وسواس فکریه...قرص کلوپرامین10برا قبل خواب نوشت..ریتالین 10روزی یدونه..وصبحام فلوکسیتین10..دوماه دیگه یه ازمون مهم دارم ایا کسی شبیه من بوده ایا فلوکسیتین و کلوپرامین ک هردو وسواس فکری و درمان میکنه استفاده هردو مشکل ساز نیس یادم رف اینو ازدکترم بپرسم","1398/08/01 21:21",51
6202004,18a4e176-68dd-4da4-8a6c-d4ec07e20d22,Adhd,"خانم های قمی لطفا دکتر پوست ومو خوب میشناسید معرفی کنید ممنون میشم","1400/01/15 13:00",106
6615889,a95b1de9-16dc-4071-8b85-1578389134e1,"کیا ADHD هستند؟","علایمتون چیاست و چطور باهاش کنار اومدین","1400/03/15 13:43",78
8595055,3ecc9146-46da-4af2-9111-514fc2cd93de,add-adhd,"من آدم آرومی هستم که شاید مقداری در فهمیدن اینکه فلانی چی داره میگه و چی گفت و کارهای عملی که ترتیب و توالی خاص دارن و همینطور وااااقعا در جهت یابی و مسیر یابی ها مشکل دارم.همین. و روانپزشکم تشخیص adhd گذاشته ، استراموکس داد که چیز چرتی بود.من به تشخیص دکترم شک دارم.","1401/02/14 12:51",52
6940795,a95b1de9-16dc-4071-8b85-1578389134e1,"کیا ADHD هستند؟","بدون دارو میشه آدم خودش رو درمان کنه,?","1400/05/06 21:20",67
8707791,e677b7c8-5600-42d7-9d34-39a4c1cf77d5,"کسی اینجا ADHD داره؟","دارو میخورین؟راضی این؟","1401/03/02 19:26",60
7042131,a95b1de9-16dc-4071-8b85-1578389134e1,"ADHD یا افسردگی","من دو سال که علائمش را دارم جرات نمیکنم برم دکتر راه درمان میشناسید","1400/05/22 11:33",53
8672355,29eb06d0-064e-4ffc-8498-bf35d7ab1cb8,"من ADHD دارم","اصلا مغزم خطی فکر نمیکنه،یعنی در یک لحظه نمیتونم فقط به یک چیز فکر کنم، به 50 تا چیز فکر میکنم. واسه همین میترسم تصادف کنم، خیلی بی دقتم، چندبار بخاطر فوبیا از رانندگی پنیک اومد سراغم، چیکار کنم بنظرتون.باید کلا بیخیال رانندگی بشم؟","1401/02/27 20:41",509
5384373,ba763fbf-a201-4c50-b30e-0c971898b479,"گروه چالش ADHD","سلام ، ما تو تلگرام یه گروه چالش داریم که بیشترمون دانش آموز و کنکوری مبتلا بهADHDهستیم اگه دانش یا کنکوری میشناسین که ADHDلطفا گروه مارو بهش معرفی کنین","1399/08/22 22:24",72
7955487,a474e166-176f-476b-b063-76ff0adf7466,"کسی اینجا مبتلا به ADHD هست؟","در بزرگسالان منظورمه","1400/10/23 14:46",107
7756521,d0c6f59c-3666-4048-b491-27e511c1e482,"کسی هست بچه اش ADHD داشته باشه؟",?,"1400/09/17 22:34",76
5781745,ee4439f7-38b6-42d0-b1a7-c181861390c6,"کسی هست اینجا adhd داشته باشه","برای تمرکزتون چیکار میکنید","1399/11/03 08:48",159
2993357,505f3e57-1b70-462c-b80e-deb81e6bc791,"کودکان ADHD چطوری باید رفتار کرد","کسی بچه داشته ک مشکل عدم تمرکز وبیش فعالی داشته باشه","1398/04/24 18:46",70
6005221,fcbb9ca9-ccf5-4637-9727-6344b99a00e5,"احساس میکنم شوهرم اختلال adhd داره","پیش فعالی و نقص توجه و اینا","1399/12/11 14:50",83
7250940,585095b7-203f-4df1-9af8-5f387bc888c8,"تست نقص توجه یا ADHD بزرگسالان رو کجا میگیرن؟","پیش چه متخصصی باید رفت؟ فقط بزرگسال","1400/06/23 12:42",35
5578876,b5b04787-add8-461d-b3c0-f5037bf1e0aa,"دوستان روانشناس یک درمان توانبخشی برای ADHD","میشه بگین ؟ممنون میشم برای تحقیق میخوام برای استاد بفرستم","1399/09/27 14:20",33
7202157,c4eb42b9-1308-48ea-92cb-8f01ab0ad9e6,"کسی اینجا هست برا adhd دارو مصرف کنه؟؟؟","منظورم بیش فعالی بزرگسالانه","1400/06/15 20:02",27
4896202,27091a54-4540-4774-a56c-ee902f40ae63,"کسی بوده بچه adhd داشته باشه و فرزند بعدیش اروم باشه؟","امروز رفتم سونو nt جنین خیلی تکون میخورد یاد پسر اولم افتادم اونم توشکمم از همون اول همش تکون میخورد و بیش فعال شده","1399/05/28 21:46",54
8684524,9c698540-56de-44d6-8180-bce774476a9b,"کسی رو نی شناسید که تو بزرگسالی براش تشخیص بیش فعالی یا ADHD داده باشن؟","هویجوری میخوام بدونم. اگه اطلاعاتی دارید بگید","1401/02/29 21:23",96
7782105,74a97d00-a239-44a7-ba4f-14009022992f,"کسی هست اینجا کهADHDباشه؟","دارو مصرف می کنید؟","1400/09/22 16:57",48
3505033,1390a445-b391-4971-8319-fa00fdad1f09,"بیش فعالی","بیش فعالی دکتر سرور آرمان اصفهان","1398/08/25 02:07",1240
96922,0d73167f-8265-4012-b479-bfe2f2ebcb74,"بیش فعالی","سلام کسی درباره مصرف آهن و بیش فعالی میدونه","1391/02/12 23:06",738
4962295,7bdaa6b6-2306-4125-bae5-1b72d0df3952,"بیش فعالی","سلام","1399/06/09 20:55",161
5340971,2fe76be3-5d5c-43fe-9494-7425426daba6,"بیش فعالی","مادرای عزیز شبکه سلامت درباره بیش فعالی صحبت میکنه خاستم بگم شاید به درد کسی خورد","1399/08/15 10:13",151
