QID,QUserID,QTitle,QBody,QDate,QVisit
3396672,8d8fb2df-17b6-4c1d-b7ed-3f653cce28dc,"آسپرگر","سلام کسی هست اینجا آسپرگر داشته باشه یا کسی رو بشناسه که داشته باشه؟","1398/07/29 23:25",117
7495173,4ac7b507-9dfb-4ce1-a709-b3c3b68c7f52,"ازدواج افراد آسپرگر","آیا افراد مبتلا به آسپرگر میتونن ازدواج‌موفق داشته باشند؟","1400/08/01 23:53",1098
4548682,b9da8186-d3fe-446d-adb1-e346bfb583c3,"سندروم آسپرگر. کسی تجربه داره؟","خواهش میکنم اگه بچه ی خودتون یا نزدیکان به این سندروم مبتلاست بگید چطوریه چه علایمی داره","1399/03/28 12:51",754
6981328,d6be199f-478a-4a16-9c0d-613fb02ea2be,"به نظرتون این آقا سندرم آسپرگر داره؟","کسیکه بهش علاقه مندم اصن ارتباط چشمی با هیچکس برقرار نمیکنه موقع صحبت کردن اصلا به آدم نگاه نمیکنه، اغلب سرش پایینه، تمرکز عجیبی روی کارش داره، کم حرفه تا مجبور نباشه حرف نمیزنه با اینکه خیلی مهربونه و تلاش میکنه با کسانی که ناراحتی دارن همدردی کنه","1400/05/13 01:31",724
4693159,2b20898a-cb74-431c-b30d-6f40195f7792,"کسی هست بچش آسپرگر باشه؟","دارو چی میخوره؟","1399/04/23 17:55",376
446732,34ddc1c1-8033-46ac-b952-435ad78c6455,"پسرم آسپرگر تشخیص داده شده","دوستان عزیز کمک کنید کی این بیماری میشناسه ،بوده کسی ک خوب شده باشه ،پسر من دوازده ساله ش ،خیلی درونگرا شده ،همش با خودشه","1394/07/12 00:35",8464
5495229,67c6f3d5-f46e-4452-8f82-f43772522510,"کسی از اختلال آسپرگر میدونه","بچه یا بزرگسال دارای این اختلال؟","1399/09/12 15:30",54
8068095,33346203-0b40-4a93-94a2-1126e8beaedd,"برای افراد مبتلا به آسپرگر چه هدیه هایی مناسب است؟","برای افراد مبتلا به آسپرگر چه هدیه هایی مناسب است؟","1400/11/12 17:30",56
2622309,a3bc615e-3926-4f07-b049-4f3a2f041e91,"بچه ها و مامان ها، چيزي راجع به سندروم آسپرگر شنيدين؟","بچه م ١١ماهشه اصلا بغل هيچكس نميره","1398/01/12 01:02",849
3403378,5833c6d7-78da-4bce-b438-fbae1ebdeb90,"نوشته یک جوان آسپرگر در مورد مدرسه","به طرزی احمقانه و غیرعقلانی، مدارس یاد داده اند که عقل میگوید باید به مدرسه رفت... این تفکر کاملا غلط است... چرا؟ میگویند اگر مدرسه نرویم پس سواد یاد نمیگیریم در حالی که اگر منظور سواد خواندن و نوشتن باشد، افراد خودشان احساس نیاز به سوادآموزی را برای کار با عابربانک و خواندن تابلو و معامله را میکنند و نیازی نیست که در مدارس بگویند که این نیاز را داری و باعث آن شود که این اجبار سبب بیزاری از سواد و مطالعه شود... میگویند اگر مدرسه نرویم اطلاعات به روز درمورد دنیا نخواهیم داشت درحالی که اصلا در مدارس چنین چیزهایی آموخته نمیشود و افراد نخبه و باهوش خودشان یاد میگیرند چگونه با سرچ و یوتیوب و... برنامه نویسی کنند، فنون استدلال را یاد بگیرند، اطلاعات درست درمورد ایدز کسب کنند، نجاری و جوشکاری و غیره یاد بگیرند... و اتفاقا آموزش و پرورش به قول راسل افراد را احمق میکند که افراد به جای آنکه برای ادعاها به دنبال شواهد بگردند، بگویند که معلم مان این را گفته و افراد مستعد علایق شان را عموما به طور خودخوان پیدا میکنند نه کتب مدرسی که مبحث تکامل را از زیست شناسی حذف کرده است... میگویند مدرسه نرفتن یعنی ممنوعیت ورود به دانشگاه ولی میتوان بدون رفتن به مدرسه دروس مدرسه ای را خواند و در آخر ترم آنها را برای پاس کردن امتحان داد تا با اخد دیپلم جواز ورود به دانشگاه را داشت... میگویند اگر به مدرسه نرویم اجتماعی نمیشویم که این مزخرف محض است... اجتماع واقعی که پر از انعطاف و پیچیدگی است در مدارس نیست که همه چیز با چارچوب و برنامه ی از پیش تعیین شده پیش میرود مثل لباس فرم یکسان، ایستادن سر صف، دعوا نکردن و... پس قدرت حل مسئله را میکاهد چرا که فرد در آن نیاز به این ندارد که فکر کند که الآن چه لباسی بپوشد، اگر کسی او را اذیت کرد دقیقا چگونه واکنش دهد به جای آنکه ناظم هر دو را تنبیه کند و... اجتماع واقعی در کلاس زبان است که افراد لباس دلخواه میپوشند اما بدون دیکته و اجبار متوجه میشوند که بی نظمی باعث یاد نگرفتن خود آدم میشود به جای فشار و بازخواست (فهم پیامد اعمال به جای دیسیپلین های مصنوعی)، در مهمانی ها در جریان است که هیچ قاعده ای نمیگوید کی نوبت سخن گفتن توست و چگونه سر صحبت را میتوان با دیگران باز کرد چرا که با فیدبک هایی که از افراد میگیریم به تدریج این ها را می فهمیم، در مایکروسافت است که در آن امثال بیل گیتس قواعد پولدار شدن را بدون پاس کردن واحدی به نام چگونه ثروتمند شویم، آموخته اند... اگر مدرسه مفید بود، بالاترین آمار تصادف جاده ای را نمیداشتیم... از صفحه اینستاگرامrezakh4267","1398/08/01 16:49",1311
4670918,2b20898a-cb74-431c-b30d-6f40195f7792,"وسی بچش آسپرگر هست؟ یا کسی که اطلاعات داشته باشه","میخوام اگه کسی بچش آسپرگر علائماش لطف کنه بگه بهم","1399/04/19 18:49",55
1628336,021e50b5-95e1-45e6-8296-f3546c853bb6,"اسپرگر","کیا در این مورد اطلاعات دارن همون اوتیسم خفیف هست","1396/11/25 20:41",224
2640696,8b1ffabb-2f09-4696-bc12-27d08d76599c,"راجب سندرم اسپرگر اطلاعات میخوام","امروز پسرمو بردم پیش روانشناس گفت سندرم اسپرگر داره کسی هست اینجا که اطلاعاتی داشته باشه یا فرزندش همچین سندرمی داشته باشه","1398/01/18 20:04",2481
4983169,73f15f78-8103-42e4-b693-cb8e35c965df,"به نظر شما یه پسر یا دختر مبتلا به آسپرگر عاقلانه است ازدواج کنه؟","علایم فیلم موتزارت و وال داستان زندگی و عشق یک زوج آسپی واقعی رو نشون میده. به قول وندی لاوسن خانمی روانشناس و دچار آسپرگر، آسپرگری هایی هم عشق رو تجربه میکنن اما طبیعت عشق شون متفاوت با بقیه است. مثلا کلافه میشن که هی همو ببینن اما در عوض با نامه نگاری و ارتباط از راه دور بیشتر لذت ممکنه ببرن یا ممکنه بخوان منظم معشوق شون رو ببینن اما رفتارهای رمانتیک بلد نیستن. آسپرگر مشکل در ارتباط های پیچیده+ علاقه به تکرار و محدودیت با هوش متوسط یا بالاتره همین. این میتونه همراه با بی میلی ب ارتباط باشه میتونه با برون گرایی باشه. میتونه با آسکشوالیتی و بی میلی ب ارتباط جنسی باشه میتونه با هایپرسکشوالیتی و فزون خواهی جنسی باشه. میتونه با آلکسی تیمیا و خنثی بودن عاطفی باشه ک اصلا نتونه عشق و علاقه رو درک کنه و میتونه با هایپرامپاتی به قول هنری مارکرام از نورولوژیست های نظریه پرداز در مورد آسپرگر همراه باشه یعنی همدلی بیش از حد","1399/06/13 12:45",197
7592407,c1b0b2d1-e07d-4396-97e8-b40f77e31995,"مشکوک به اسپرگرم","سلام، من تاحالا پیش نیومده در این مورد حرف بزنم","1400/08/18 22:21",126
7923320,d53d3cd8-bb1a-4847-9d9e-c41909fc097e,"کسی در مورد سندروم اسپرگر چیزی میدونه","پسرم ببشفعالی و کمبود توجه تمرکز داره و اسپرگر خیلی ناراحتم دلم میخواد توی خونه باهاش بیستر کار کنم ولی باد نیستم","1400/10/18 00:22",89
3209191,5673c671-c308-4d18-90c0-1e7a063ac96c,"خصوصیات اخلاقی یک اسپرگر دارم چکار بکنم","تمام خصوصیات از جمع بدم میاد از صدا بلند متنفرم چطور میشه اصلاح بشه باهمسرش چطوره اسپرگر","1398/06/15 22:53",220
4987965,7938d757-eb6f-4249-9125-bc2aa19262ea,"دخترم 7 سالشه ضریب هوشی 120 یادگیریش خوبه ولی روابط اجتماعیش به شدت ضعیفه.. آیا اسپرگر ممکنه باشه؟","؟","1399/06/14 10:36",260
2622337,a3bc615e-3926-4f07-b049-4f3a2f041e91,"بچه ها ترو خدا اگه راجع به سندروم اسپرگر اطلاعات دارين يه لحظه بياين","https://www.ninisite.com/discussion/topic/2622309/بچه-ها-و-مامان-ها-چيزي-راجع-به-سندروم-آسپرگر-شنيدين?postId=85787202","1398/01/12 01:09",187
7212880,85519174-eddf-4797-acc9-17a4e03afd29,"بیماری چشمی آستیگماتیسم","یه کسی اومده با همچین چشمی و عینکی هم هست چکار کنم بنظرتون؟","1400/06/17 12:36",80
7291634,0795b4ba-2391-4613-a703-0609e3f65b03,"چشم آستیگماتیسم قابل درمانه","دخترم ۶ سالشه دکتر گفت شماره چشمش یک آستیگماتیسم هست به نظرتون پایین میاد کسی تجربه داشته","1400/06/29 20:43",160
2483463,70262186-757e-4123-a97a-cf605ba88a21,"آستیگماتیسم چشم‌ درمان‌ داره","ایا","1397/11/19 01:07",460
6245736,77694ca7-c273-43a2-ad8e-75e84ed1ca9c,"هلیله سیاه برای آستیگماتیسم چشم","سلام","1400/01/22 01:12",714
203290,f5945485-3ab3-463f-a6b7-08e6576538df,"کسی میدونه آستیگماتیسم تا چه حدود قابل اصلاح است؟","پسر خواهرم 8 سالشه و آستیگماتیسم 3 داره .تا جقدر ممکنه با عینک پایین بیاد؟","1391/08/30 00:56",507
7458882,0fac65fb-9bfe-493a-b123-b7c8c0a33f2f,"آستیگماتیسم و ضعیفی چشم توروخدا یه لحظه بیایید","سلام بچه ها","1400/07/25 21:39",76
2799781,a1f5c83b-1529-4ad3-85bf-124455483db8,"دانشگاه فرهنگیان و ضعیفی و استیگماتیسم چشم","قبول نمیکنن تا نمره چند رو قبول میکنن...میخام واسه کنکور بخونم ولی این شرطش یه جوریه","1398/03/04 14:55",4961
946861,4ee7562d-aebc-4883-ac46-731c3b8f0df7,"استیگماتیسم چشم دختر 3 سالم","تجربه ای دارید از این بیماری؟","1394/02/29 22:34",452
6964339,4a6fdb40-e8a8-463e-9d67-4fea5373d2c6,"لنز برای استیگماتیسم ..... بیاین عجله دارم","کسی داره و اینکه چه مارکی هست ؟","1400/05/10 17:45",21
1852197,90fb12e3-607a-4b3e-9e9b-192ba52f54c4,"عمل پی ار کی استیگماتیسم رو هم اصلاح میکنه؟","ممنون","1397/03/24 09:24",407
6516279,5213dda8-8baf-45c3-bdb1-e17a78f84538,"خانمایی که استیگماتیسم چشم دارن توراخدا به دادم برسید خیلیییی نگرانم","علایمتون چی بود؟ سنگینی سر و فشار چشم دارید؟ به زور چشاتونا باز نگه میدارید؟ کمکم کنید خیلییی اذیتم","1400/02/30 20:55",106
8048677,5b4828f2-4822-432d-a351-c904859034e9,"کسی عمل چشم انجام داده برای استیگماتیسم عینکی ها واینا بیاید حرف بزنید","والا نمیدونم چی میشه چشمام زیاد سن ندارم نپرسید ولی زیر ۱۸ سالم","1400/11/09 13:53",101
5493096,3a2e29a0-8468-4ef8-b00b-85f82896c496,"کیا میدونن هزینه لنز طبی سخت برای چشم های استیگماتیسم در حال حاضر چنده؟؟؟؟","کسی هست تو داروخانه کار بکنه راجب لنز طبی سافت توریک یا سخت اطلاع داشته باشه؟؟؟؟؟","1399/09/12 02:47",58
6564574,e6d816d4-f3be-4f12-a503-d9ff184cdc63,"خانمایی که استیگماتیسم چشم دارن توراخدا به دادم برسید خیلیییی نگرانم","من سرم سنگین میشه و چشام خسته میشن رفتم چشم پزشک گفت یه چشت استیگمات عینک داد الان سه روز زدم اصلا بهبودی ندارم؟ علایم شما چی بود؟ بعد روز اول عینکا زدین خوب شدین؟","1400/03/07 12:13",64
